안녕.안녕히 가세요	안.녕.안.녕.히.가.세.요
그게 뭐야	그.게.뭐.야
미끄럼틀도 있고 책도 있고.오	미.끄.럼.틀.도.있.고.책.도.있.고.오
사십 분 동안 놀아야 된대	사.십.분.동.안.놀.아.야.된.대
우리 뭐 하고 놀까	우.리.뭐.하.고.놀.까
컴퓨터도 있네	컴.퓨.터.도.있.네
부엌에도 뭐가 많아.서류가 잔뜩 있네	부.엌.에.도.뭐.가.많.아.서.류.가.잔.뜩.있.네
서류가 많아요	서.류.가.많.아.요
시계도 있고	시.계.도.있.고
침대도 있네	침.대.도.있.네
거울이다	거.울.이.다
이름야	이.름.야
여기 누구 있어	여.기.누.구.있.어
누구야	누.구.야
이름네	이.름.네
우와 로보트 시계도 있어	우.와.로.보.트.시.계.도.있.어
저건 아까 삼촌 가방일까	저.건.아.까.삼.촌.가.방.일.까
이불도 있네	이.불.도.있.네
여기는 장난감도 많아요	여.기.는.장.난.감.도.많.아.요
누구 사진인가	누.구.사.진.인.가
우와 범보 의자도 있고	우.와.범.보.의.자.도.있.고
말도 있네	말.도.있.네
우린 어디서 놀아 볼까	우.린.어.디.서.놀.아.볼.까
거울에서 놀아 볼까	거.울.에.서.놀.아.볼.까
자	자
읏차	읏.차
아이고 다리가 꼈어	아.이.고.다.리.가.꼈.어
다리가 꼈어	다.리.가.꼈.어
거울 보고서 놀아 볼까.으차	거.울.보.고.서.놀.아.볼.까.으.차
으쌰	으.쌰
으샤	으.샤
으쌰차차.아이 좋아라	으.쌰.차.차.아.이.좋.아.라
아이 좋아	아.이.좋.아
아이 좋아	아.이.좋.아
하나	하.나
아이구 좋아요	아.이.구.좋.아.요
아이 좋아요	아.이.좋.아.요
으이샤	으.이.샤
모자가 벗겨지려 그러네	모.자.가.벗.겨.지.려.그.러.네
창밖이 있으면 좋은데 창밖이 없네	창.밖.이.있.으.면.좋.은.데.창.밖.이.없.네
와 저기 우리 내려다 볼까	와.저.기.우.리.내.려.다.볼.까
이건 어떻게 올리나	이.건.어.떻.게.올.리.나
어디	어.디
올려도 되나	올.려.도.되.나
밖에 좀 내다 볼까	밖.에.좀.내.다.볼.까
어디 보자	어.디.보.자
자	자
으잉.깨끗하지가 않네	으.잉.깨.끗.하.지.가.않.네
물티슈	물.티.슈
휴지	휴.지
응	응
깨끗이 닦고	깨.끗.이.닦.고
읏차	읏.차
물은 나오나	물.은.나.오.나
안 나오나 보네	안.나.오.나.보.네
폼으로 했구나	폼.으.로.했.구.나
우리 여기서 놀까	우.리.여.기.서.놀.까
자.응.여기 봐라	자.응.여.기.봐.라
여기 어디야	여.기.어.디.야
어.여기가 어디지.이름야	어.여.기.가.어.디.지.이.름.야
산이 있네	산.이.있.네
어	어
이름야.산 보여	이.름.야.산.보.여
이름 뭐 보나.아래 뭐가 있어	이.름.뭐.보.나.아.래.뭐.가.있.어
아랜 없네	아.랜.없.네
가자	가.자
이거 갖고 놀아 볼까	이.거.갖.고.놀.아.볼.까
아고 궁금해	아.고.궁.금.해
자	자
여기서 노는 건가	여.기.서.노.는.건.가
자	자
보자	보.자
세워지는 것도 있다	세.워.지.는.것.도.있.다
우와	우.와
여기도 움직인다	여.기.도.움.직.인.다
또 막 움직이네	또.막.움.직.이.네
아구 좋아	아.구.좋.아
다 부서지겠네	다.부.서.지.겠.네
소리는 안 난다	소.리.는.안.난.다
소리가 나면 더 재밌었겠지	소.리.가.나.면.더.재.밌.었.겠.지
아이고 아프겄다	아.이.고.아.프.겄.다
이름야 너무 세게 하면 아퍼	이.름.야.너.무.세.게.하.면.아.퍼
얜 안 움직이나.안 움직이네	얜.안.움.직.이.나.안.움.직.이.네
재밌어요	재.밌.어.요
또 뭘 갖고 놀아 볼까	또.뭘.갖.고.놀.아.볼.까
어이구 좋아	어.이.구.좋.아
에고	에.고
아이고 힘들다	아.이.고.힘.들.다
자	자
자	자
어	어
응	응
아이고 잘 갖고 노네	아.이.고.잘.갖.고.노.네
이것도 불어 봐	이.것.도.불.어.봐
신기하지	신.기.하.지
아이고 잘 갖고 노네	아.이.고.잘.갖.고.노.네
재밌어	재.밌.어
아이쿠	아.이.쿠
맘에 들어요	맘.에.들.어.요
됐다	됐.다
됐다	됐.다
이게 맘에 들어	이.게.맘.에.들.어
응	응
비뚤어졌네	비.뚤.어.졌.네
한 장난감에 오 분씩만 놀아 볼까	한.장.난.감.에.오.분.씩.만.놀.아.볼.까
여기 누구 있어	여.기.누.구.있.어
어이구 신기해	어.이.구.신.기.해
또	또
잠깐만 이름야.전화 왔다	잠.깐.만.이.름.야.전.화.왔.다
어이쿠	어.이.쿠
어.광고 전화네	어.광.고.전.화.네
이게 재밌어	이.게.재.밌.어
자	자
이거 마음에 들어	이.거.마.음.에.들.어
어이구 잘 하네	어.이.구.잘.하.네
어이구 잘 하네	어.이.구.잘.하.네
우리 또 다른 것도 해 볼까	우.리.또.다.른.것.도.해.볼.까
자.그럼 다른 것도 해 보자	자.그.럼.다.른.것.도.해.보.자
자.이거 봐	자.이.거.봐
자.자	자.자
우리 다른 것도 해 볼까	우.리.다.른.것.도.해.볼.까
다른 것도 있어.이름야.봐 봐	다.른.것.도.있.어.이.름.야.봐.봐
봐 봐	봐.봐
이거 하고 싶어	이.거.하.고.싶.어
막 이런 것도 있는데	막.이.런.것.도.있.는.데
신기한 거	신.기.한.거
이거 봐	이.거.봐
이리 와 봐	이.리.와.봐
뭐가 있을까	뭐.가.있.을.까
이게 좋아	이.게.좋.아
이게 맘에 들어	이.게.맘.에.들.어
이름 손이 아플 것 같은데	이.름.손.이.아.플.것.같.은.데
뭐 또 재밌는 거 없나	뭐.또.재.밌.는.거.없.나
우리 다른 것도 갖고 놀아 보자	우.리.다.른.것.도.갖.고.놀.아.보.자
장난감 많은데	장.난.감.많.은.데
이건 뭐야	이.건.뭐.야
이름 얼굴 있다	이.름.얼.굴.있.다
이름 얼굴	이.름.얼.굴
어 이름 얼굴이 있네	어.이.름.얼.굴.이.있.네
이게 좋아	이.게.좋.아
갖고 놀아	갖.고.놀.아
자	자
이게 아주 마음에 드시는구만	이.게.아.주.마.음.에.드.시.는.구.만
응	응
손 안 아파	손.안.아.파
여기 누구 있어	여.기.누.구.있.어
이름야	이.름.야
이름야	이.름.야
이게 좋구만	이.게.좋.구.만
어.다 때려 부숴	어.다.때.려.부.숴
이게 좋아	이.게.좋.아
아.실험해서 그랬나 봐	아.실.험.해.서.그.랬.나.봐
이름 다른 건 관심 없어	이.름.다.른.건.관.심.없.어
그게 재밌어	그.게.재.밌.어
다 이름가 갖고 놀 건 아니네	다.이.름.가.갖.고.놀.건.아.니.네
아이구 재밌어	아.이.구.재.밌.어
이게 그렇게 재밌어	이.게.그.렇.게.재.밌.어
어	어
아 시계가 멈췄구나	아.시.계.가.멈.췄.구.나
저 시계가 되는 게 아니었어	저.시.계.가.되.는.게.아.니.었.어
아이고	아.이.고
손 안 아프세요	손.안.아.프.세.요
이제 다른 것도 좀 해 볼까	이.제.다.른.것.도.좀.해.볼.까
이름야	이.름.야
우리 이름 이렇게 박력 있었어	우.리.이.름.이.렇.게.박.력.있.었.어
응	응
우츄쥬	우.츄.쥬
어이쿠	어.이.쿠
재밌어	재.밌.어
다른 것도 갖고 놀자 이름야	다.른.것.도.갖.고.놀.자.이.름.야
어	어
공이 굴러가네	공.이.굴.러.가.네
어.이거 봐.내려와	어.이.거.봐.내.려.와
미끄럼틀에서.우와	미.끄.럼.틀.에.서.우.와
우와	우.와
우와	우.와
신기하지	신.기.하.지
이름야.또 해 볼까	이.름.야.또.해.볼.까
이름도 미끄럼틀 한번 타 볼까.응	이.름.도.미.끄.럼.틀.한.번.타.볼.까.응
이름야.봐 봐	이.름.야.봐.봐
읏차	읏.차
또	또
응	응
이렇게 장난감이 많은데	이.렇.게.장.난.감.이.많.은.데
범보 의자에 한번 앉아 볼까	범.보.의.자.에.한.번.앉.아.볼.까
어	어
이것도 한번 타 볼까	이.것.도.한.번.타.볼.까
자	자
옳지	옳.지
여기 잡고	여.기.잡.고
옳지	옳.지
이렇게 꼭 잡고	이.렇.게.꼭.잡.고
우리 이름가 말 탔어요	우.리.이.름.가.말.탔.어.요
아이구 졸려	아.이.구.졸.려
이름가 졸려요 어떡하죠	이.름.가.졸.려.요.어.떡.하.죠
별로 재미 없어	별.로.재.미.없.어
우리 범보 의자 타고 밀고 다녀 볼까	우.리.범.보.의.자.타.고.밀.고.다.녀.볼.까
자	자
저쪽 가서 타 보자	저.쪽.가.서.타.보.자
자.앉아 봐 누워 봐	자.앉.아.봐.누.워.봐
이제 이름 가고 싶은 데로 가 봐	이.제.이.름.가.고.싶.은.데.로.가.봐
어디로 갈 거야	어.디.로.갈.거.야
응	응
어디로 가실 건가	어.디.로.가.실.건.가
어떻게 떼는 거더라	어.떻.게.떼.는.거.더.라
아.이건 좀 위험할 것 같고	아.이.건.좀.위.험.할.것.같.고
이름야 이거 봐라	이.름.야.이.거.봐.라
이름야.이거 봐라	이.름.야.이.거.봐.라
우와.우와	우.와.우.와
잔뜩 있네	잔.뜩.있.네
보라색	보.라.색
분홍	분.홍
누나 좋아하는 분홍	누.나.좋.아.하.는.분.홍
우와 할머니가 좋아하는 보라	우.와.할.머.니.가.좋.아.하.는.보.라
엄마가 좋아하는 연두	엄.마.가.좋.아.하.는.연.두
이름야.잉.머리카락이 있네	이.름.야.잉.머.리.카.락.이.있.네
어 굴러가네	어.굴.러.가.네
또 굴러가네	또.굴.러.가.네
또 굴러가네	또.굴.러.가.네
응	응
이건 재미없어	이.건.재.미.없.어
굴러가는 거	굴.러.가.는.거
어 이제 이게 또 궁금해	어.이.제.이.게.또.궁.금.해
어.뭐가 들었지 이 안에	어.뭐.가.들.었.지.이.안.에
우와	우.와
헉	헉
원숭이네	원.숭.이.네
이건 관심 없지요.이름는	이.건.관.심.없.지.요.이.름.는
그러면 이건 어때요	그.러.면.이.건.어.때.요
공룡인가 봐	공.룡.인.가.봐
재미 없어	재.미.없.어
이것도 별로구나	이.것.도.별.로.구.나
뭘 갖고 놀아야 우리 이름가 좋아할까	뭘.갖.고.놀.아.야.우.리.이.름.가.좋.아.할.까
이것도 아니고	이.것.도.아.니.고
여긴 다 인형이네	여.긴.다.인.형.이.네
이게 궁금해	이.게.궁.금.해
자동차	자.동.차
이런 자동차도 있네	이.런.자.동.차.도.있.네
소리가 나면 더 재밌을 텐데	소.리.가.나.면.더.재.밌.을.텐.데
이것도 관심 없어요	이.것.도.관.심.없.어.요
알았어요	알.았.어.요
그게 신기해	그.게.신.기.해
우리 이름도 자동차가 좋나	우.리.이.름.도.자.동.차.가.좋.나
꺼내 볼까.어	꺼.내.볼.까.어
우와 이름야 이거 봐	우.와.이.름.야.이.거.봐
막 움직이네	막.움.직.이.네
자	자
으	으
자동차가 갑니다	자.동.차.가.갑.니.다
어 그것도 아니야.치우고	어.그.것.도.아.니.야.치.우.고
연결이 돼 있었나	연.결.이.돼.있.었.나
뭐 먹어	뭐.먹.어
엥	엥
쓰레긴데	쓰.레.긴.데
쓰레긴데 이거는	쓰.레.긴.데.이.거.는
비닐이 좋아	비.닐.이.좋.아
이름 장난감 줄까 그러면	이.름.장.난.감.줄.까.그.러.면
이름는 이름 장난감이 좋지	이.름.는.이.름.장.난.감.이.좋.지
이름야	이.름.야
그래.신기한 게 많은데 여기서 놀아야지	그.래.신.기.한.게.많.은.데.여.기.서.놀.아.야.지
주황색도 맛보고	주.황.색.도.맛.보.고
아이쿠	아.이.쿠
떨어졌어	떨.어.졌.어
어디로 가게	어.디.로.가.게
아.좋아	아.좋.아
그 차가 맘에 들어	그.차.가.맘.에.들.어
이것도 움직이는 거래	이.것.도.움.직.이.는.거.래
에고 불편해	에.고.불.편.해
아이고 신기한 게 많네	아.이.고.신.기.한.게.많.네
재밌어	재.밌.어
뭘 봤어	뭘.봤.어
뭐가 궁금하길래 또 저렇게 좋아하시나	뭐.가.궁.금.하.길.래.또.저.렇.게.좋.아.하.시.나
열어 보고 싶어서.어	열.어.보.고.싶.어.서.어
그게 신기해	그.게.신.기.해
요게 궁금해	요.게.궁.금.해
이거.자 궁금해.이 속이	이.거.자.궁.금.해.이.속.이
어구	어.구
오잉	오.잉
오잉	오.잉
아이쿠 단추가 풀렸어요	아.이.쿠.단.추.가.풀.렸.어.요
어	어
어	어
굴러갔네	굴.러.갔.네
어	어
아이 신기해	아.이.신.기.해
어.조심해야 되는데 거기는	어.조.심.해.야.되.는.데.거.기.는
다시 그게 재밌어 보여	다.시.그.게.재.밌.어.보.여
읏차	읏.차
아	아
가라앉아 있구나	가.라.앉.아.있.구.나
그게 그렇게 재밌어	그.게.그.렇.게.재.밌.어
응	응
어	어
이름야 재밌어	이.름.야.재.밌.어
이거 떼고 싶어	이.거.떼.고.싶.어
여기 앉아서 해 볼까	여.기.앉.아.서.해.볼.까
에구 다 빠져	에.구.다.빠.져
오오오오오	오.오.오.오.오
저기 앉아 볼까	저.기.앉.아.볼.까
추운가	추.운.가
오	오
잠 잘래	잠.잘.래
벌써 끝났나	벌.써.끝.났.나
벌써 시간이 다 지나갔대	벌.써.시.간.이.다.지.나.갔.대
금방이지	금.방.이.지
자	자
옳지	옳.지
이거 막 움직이는 거다.이름야	이.거.막.움.직.이.는.거.다.이.름.야
요건 어떠니	요.건.어.떠.니
엄마한테나 할까나	엄.마.한.테.나.할.까.나
콧물 나와	콧.물.나.와
이름야 할머니	이.름.야.할.머.니
할머니	할.머.니
할머니네	할.머.니.네
어이구 좋아	어.이.구.좋.아
어디로 가 볼까 어	어.디.로.가.볼.까.어
이름야 너도 멀리 가지 말고 일로 와라	이.름.야.너.도.멀.리.가.지.말.고.일.로.와.라
그지	그.지
그랬어요	그.랬.어.요
응 이름 할머니 빠빠이	응.이.름.할.머.니.빠.빠.이
빠빠이 했어	빠.빠.이.했.어
할머니 빠빠이	할.머.니.빠.빠.이
어이쿠	어.이.쿠
이름 다 했어	이.름.다.했.어
어우.그래	어.우.그.래
또 그거 할 거야	또.그.거.할.거.야
자	자
이제 나올까	이.제.나.올.까
이리 와	이.리.와
이리 와	이.리.와
읏차	읏.차
네.이모가 오셨네요	네.이.모.가.오.셨.네.요
어휴	어.휴
됐어 이제 가자	됐.어.이.제.가.자
잘했어요	잘.했.어.요
네	네
엄마도 벗고	엄.마.도.벗.고
자.앉아 봐	자.앉.아.봐
기저귀 좀 갈자	기.저.귀.좀.갈.자
기저귀 좀 갈자	기.저.귀.좀.갈.자
응	응
아이고 잘 놀다 가네	아.이.고.잘.놀.다.가.네
오	오
엄마 타	엄.마.타
엄마 못 타	엄.마.못.타
너무 커.너무 작아	너.무.커.너.무.작.아
가자	가.자
오	오
안 가	안.가
엄마 앉아	엄.마.앉.아
엄마 부끄러운데	엄.마.부.끄.러.운.데
가자	가.자
오	오
이거 망가지면 엄마 물어 줘야 돼	이.거.망.가.지.면.엄.마.물.어.줘.야.돼
엄마 이렇게 끌고 가면 안 될까	엄.마.이.렇.게.끌.고.가.면.안.될.까
엄마 앉아	엄.마.앉.아
어	어
어.이름이 모자 귀여워	어.이.름.이.모.자.귀.여.워
부딪혔네	부.딪.혔.네
어떡하지	어.떡.하.지
쇼핑할까	쇼.핑.할.까
아으쌰	아.으.쌰
오	오
사 가실래요	사.가.실.래.요
어.이건 파인가	어.이.건.파.인.가
어	어
이거 뭐야.소세지잖아	이.거.뭐.야.소.세.지.잖.아
빵은 없네	빵.은.없.네
집에 건 빵이 있는데 여긴 빵이 없다.그치	집.에.건.빵.이.있.는.데.여.긴.빵.이.없.다.그.치
됐다	됐.다
토마토	토.마.토
마늘	마.늘
이거	이.거
버섯	버.섯
버섯	버.섯
이게 뭐 같애	이.게.뭐.같.애
이거 안 매애어.이거 안 매운 거 아니에요.매운 거 아니에요	이.거.안.매.애.어.이.거.안.매.운.거.아.니.에.요.매.운.거.아.니.에.요
이거 먹어 봤잖아요	이.거.먹.어.봤.잖.아.요
그렇죠.먹어 봤죠	그.렇.죠.먹.어.봤.죠
우와.이것 봐 봐.이름아	우.와.이.것.봐.봐.이.름.아
이거 껍질도 이렇게 있다	이.거.껍.질.도.이.렇.게.있.다
어디 가	어.디.가
탁자 있으니까 조심히 가야 돼	탁.자.있.으.니.까.조.심.히.가.야.돼
됐다.어.이름아 빵 여기 있었어	됐.다.어.이.름.아.빵.여.기.있.었.어
이름아.빵	이.름.아.빵
응.빵	응.빵
빵	빵
응.빵	응.빵
아까 이름이가 신발 없다고 빠 이랬는데 엄마가 빵이라고 알아들어 가지고 미안했어	아.까.이.름.이.가.신.발.없.다.고.빠.이.랬.는.데.엄.마.가.빵.이.라.고.알.아.들.어.가.지.고.미.안.했.어
빵	빵
치즈	치.즈
치즈	치.즈
빵에 치즈 얹어 주세요	빵.에.치.즈.얹.어.주.세.요
치즈	치.즈
치즈랑 치즈 빵 먹을 거야.엄마는 소세지 빵	치.즈.랑.치.즈.빵.먹.을.거.야.엄.마.는.소.세.지.빵
맛있게 드세요	맛.있.게.드.세.요
어디 가	어.디.가
이야	이.야
엄마 여우.엄마랑 아가랑 같이 그냥 둘까.이거는	엄.마.여.우.엄.마.랑.아.가.랑.같.이.그.냥.둘.까.이.거.는
자	자
그래	그.래
그래	그.래
뭐 하고 놀까	뭐.하.고.놀.까
공	공
공룡	공.룡
이름아	이.름.아
이름아	이.름.아
어.공이랑 같이 탈 거야	어.공.이.랑.같.이.탈.거.야
공이 같이 타기에는 다리가 없잖아	공.이.같.이.타.기.에.는.다.리.가.없.잖.아
다리 있는 애로 다시 데려올까	다.리.있.는.애.로.다.시.데.려.올.까
음	음
어	어
더더다	더.더.다
더더다	더.더.다
더더가 왜 여기 있네	더.더.가.왜.여.기.있.네
고.출발	고.출.발
어	어
엄마가 끌고 나올게	엄.마.가.끌.고.나.올.게
끌고 나올게	끌.고.나.올.게
나와 봐	나.와.봐
나와 봐	나.와.봐
나와	나.와
아니야.이름이 후진	아.니.야.이.름.이.후.진
후진.뒤로	후.진.뒤.로
어디다 놔 줄까	어.디.다.놔.줄.까
이름아 이거 어디다 놓을까	이.름.아.이.거.어.디.다.놓.을.까
여기다 놓을까 그러면	여.기.다.놓.을.까.그.러.면
어.곰돌이가 들어갔네	어.곰.돌.이.가.들.어.갔.네
어	어
잘 자 그래	잘.자.그.래
어디 가	어.디.가
어.이걸 끌고 갈 거야	어.이.걸.끌.고.갈.거.야
집을 통째로	집.을.통.째.로
통째로 들고 갈 거야	통.째.로.들.고.갈.거.야
엄마 줄래	엄.마.줄.래
그럼 엄마 여기다 놓을게	그.럼.엄.마.여.기.다.놓.을.게
더더가 혼자 앉기 힘든가 봐.이름이랑 같이 앉자	더.더.가.혼.자.앉.기.힘.든.가.봐.이.름.이.랑.같.이.앉.자
더더가 여기도 있었어	더.더.가.여.기.도.있.었.어
으쌰	으.쌰
아가 여우.엄마 여우	아.가.여.우.엄.마.여.우
곰돌아 안녕	곰.돌.아.안.녕
잠깐만	잠.깐.만
두 아이의 엄마 되시나요	두.아.이.의.엄.마.되.시.나.요
이름아.너 애기 엄청 많은 엄마 같애	이.름.아.너.애.기.엄.청.많.은.엄.마.같.애
응.아가가 둘이나 있잖아	응.아.가.가.둘.이.나.있.잖.아
어.아가 던졌어	어.아.가.던.졌.어
아프지 마	아.프.지.마
그렇지요.이름이가 던져서 아야 아야 했지요	그.렇.지.요.이.름.이.가.던.져.서.아.야.아.야.했.지.요
어	어
엄마.이름이 너	엄.마.이.름.이.너
뭐 볼래	뭐.볼.래
야.이거 아직 뜯지도 않은 것 같은데	야.이.거.아.직.뜯.지.도.않.은.것.같.은.데
아니네.뜯었네	아.니.네.뜯.었.네
하나	하.나
둘	둘
위에다 올리는 거야.이렇게	위.에.다.올.리.는.거.야.이.렇.게
셋.또 올려 봐	셋.또.올.려.봐
넷	넷
넷	넷
다섯	다.섯
여섯	여.섯
어.얘 모자 써져.어	어.얘.모.자.써.져.어
오	오
야.너 다 무너뜨리면 어떡해	야.너.다.무.너.뜨.리.면.어.떡.해
하나 놀고 하나 정리하고 하나 놀고 하나 정리하고 해야지	하.나.놀.고.하.나.정.리.하.고.하.나.놀.고.하.나.정.리.하.고.해.야.지
너	너
이건 굳이 안 뜯어도 될 것 같은데	이.건.굳.이.안.뜯.어.도.될.것.같.은.데
뜯고 싶어	뜯.고.싶.어
어.이름아 이거 맞추기 하는 건가 봐	어.이.름.아.이.거.맞.추.기.하.는.건.가.봐
엄마도 이건 처음 본다	엄.마.도.이.건.처.음.본.다
여기다가 맞추는 건가 봐	여.기.다.가.맞.추.는.건.가.봐
네모는 여기	네.모.는.여.기
정사각형은 여기	정.사.각.형.은.여.기
이름이도 해 봐	이.름.이.도.해.봐
거긴가	거.긴.가
삼각형은 거긴가	삼.각.형.은.거.긴.가
엄마가 조금 도와줄까	엄.마.가.조.금.도.와.줄.까
어.거기 맞아	어.거.기.맞.아
우와.대단하다	우.와.대.단.하.다
또	또
또 해 봐	또.해.봐
또	또
삼각형 하나가 어디 갔을까	삼.각.형.하.나.가.어.디.갔.을.까
줘 봐	줘.봐
어디 있을까 삼각형은.여긴가.여긴가	어.디.있.을.까.삼.각.형.은.여.긴.가.여.긴.가
거긴가	거.긴.가
여기 또 있어	여.기.또.있.어
얘는 어디지	얘.는.어.디.지
얘는 어디지	얘.는.어.디.지
여긴가	여.긴.가
여긴가	여.긴.가
거기야	거.기.야
살살 좀 놔 봐.놀랐잖아	살.살.좀.놔.봐.놀.랐.잖.아
다 하고 엎어야지	다.하.고.엎.어.야.지
이거는	이.거.는
이름아 이거 안 했어	이.름.아.이.거.안.했.어
야아	야.아
이거 아직 안 했잖아	이.거.아.직.안.했.잖.아
그래	그.래
여기서는 모자 쓰고 놀아야 된대	여.기.서.는.모.자.쓰.고.놀.아.야.된.대
어	어
응	응
저기 인형이 엄청 많았구나	저.기.인.형.이.엄.청.많.았.구.나
어.거기다 놔 줄 거야	어.거.기.다.놔.줄.거.야
그래	그.래
이름아 그럼 엄마 이것도 놔 줘	이.름.아.그.럼.엄.마.이.것.도.놔.줘
안 놀 거야	안.놀.거.야
왜	왜
어째서	어.째.서
왜 안 놔 줄 거야.놔 줘	왜.안.놔.줄.거.야.놔.줘
이거 여기다 놔 줘	이.거.여.기.다.놔.줘
핑크 네모 여기다 놔 줘	핑.크.네.모.여.기.다.놔.줘
응.요기	응.요.기
안녕.빠바	안.녕.빠.바
이건 뭘까	이.건.뭘.까
동그라미	동.그.라.미
아하	아.하
오	오
이름아	이.름.아
문이 아니라 창문으로 나오는 거야	문.이.아.니.라.창.문.으.로.나.오.는.거.야
대단한데	대.단.한.데
어디 가	어.디.가
어	어
이름아	이.름.아
아.모자가 관심이었어	아.모.자.가.관.심.이.었.어
얘 아까 두다 닮았다고 했지.두다다쿵 두다	얘.아.까.두.다.닮.았.다.고.했.지.두.다.다.쿵.두.다
앗.아.초록이	앗.아.초.록.이
그렇네	그.렇.네
엄마 앉으라고	엄.마.앉.으.라.고
엄마 앉기에는 너무 좁은데	엄.마.앉.기.에.는.너.무.좁.은.데
이름아.이거 이거 더 두다 앉혀 줄까	이.름.아.이.거.이.거.더.두.다.앉.혀.줄.까
응.두다 앉아	응.두.다.앉.아
어	어
왜 초록이랑 노 초록 노랑이만 돌려.빨강이는	왜.초.록.이.랑.노.초.록.노.랑.이.만.돌.려.빨.강.이.는
노랑이도 한번 돌려 볼까	노.랑.이.도.한.번.돌.려.볼.까
빨강이도 한번 돌려 볼까	빨.강.이.도.한.번.돌.려.볼.까
얘가 빨강이야	얘.가.빨.강.이.야
빨강이 얜데	빨.강.이.얜.데
얘 초록이잖아	얘.초.록.이.잖.아
빨강이 한 번	빨.강.이.한.번
빨강 초록이 한 번	빨.강.초.록.이.한.번
아가도.근데 아가는 손이 여기 묶여 있다	아.가.도.근.데.아.가.는.손.이.여.기.묶.여.있.다
자.아가도 노랑이 한 번	자.아.가.도.노.랑.이.한.번
빨강이 한 번	빨.강.이.한.번
초록이도 한 번.박수	초.록.이.도.한.번.박.수
발 박수 해야겠다.박수	발.박.수.해.야.겠.다.박.수
시 벌써 시름해졌어	시.벌.써.시.름.해.졌.어
오.이번엔 당근 친구	오.이.번.엔.당.근.친.구
앉아	앉.아
당근은 손이 있는데 너무 짧다	당.근.은.손.이.있.는.데.너.무.짧.다
당근은 손이 있는데 너무 짧아	당.근.은.손.이.있.는.데.너.무.짧.아
빨강이도 돌려 봐	빨.강.이.도.돌.려.봐
손 빠지겠어.이름아	손.빠.지.겠.어.이.름.아
노랑이도 돌려 봐	노.랑.이.도.돌.려.봐
머리로 해 볼까	머.리.로.해.볼.까
당근 머리로	당.근.머.리.로
초록이 돌려 봐	초.록.이.돌.려.봐
이게 뭐냐	이.게.뭐.냐
이게 뭘까	이.게.뭘.까
근데 무슨 장난감인지는 모르겠어	근.데.무.슨.장.난.감.인.지.는.모.르.겠.어
응	응
이름이 볼래	이.름.이.볼.래
아.이거 볼래.다시 줄까	아.이.거.볼.래.다.시.줄.까
이거 안 봐도 돼	이.거.안.봐.도.돼
그래.넣어 놓을게	그.래.넣.어.놓.을.게
엄마 타	엄.마.타
엄마가 타기엔 너무 작아	엄.마.가.타.기.엔.너.무.작.아
엄마가 타기엔 너무 작아	엄.마.가.타.기.엔.너.무.작.아
응.엄마가 타기엔 너무 작아	응.엄.마.가.타.기.엔.너.무.작.아
응.이름이 타 봐.엄마 잡아 줄게	응.이.름.이.타.봐.엄.마.잡.아.줄.게
타고 내려오면 엄마 잡아 줄게	타.고.내.려.오.면.엄.마.잡.아.줄.게
아.요렇게	아.요.렇.게
다시 와 봐	다.시.와.봐
머리 조심	머.리.조.심
으	으
으	으
그거 로보트 다리	그.거.로.보.트.다.리
병원에 있을 때 우리 로보트 팔찌랑 로보트 다리 했었지	병.원.에.있.을.때.우.리.로.보.트.팔.찌.랑.로.보.트.다.리.했.었.지
그거 친구야	그.거.친.구.야
한 번 더	한.번.더
한 번 더 탈 거예요	한.번.더.탈.거.예.요
어	어
응.그랬어요	응.그.랬.어.요
어.한 번 더 타 볼래요	어.한.번.더.타.볼.래.요
배 하자고	배.하.자.고
그래	그.래
아가 책들인데	아.가.책.들.인.데
이름이 아기 때 보던 책들이야	이.름.이.아.기.때.보.던.책.들.이.야
기억 나	기.억.나
이거 다 이름이 엄마가 물려줬어	이.거.다.이.름.이.엄.마.가.물.려.줬.어
읽어주세요	읽.어.주.세.요
잠깐만 엄마 이거 넣어 놓고	잠.깐.만.엄.마.이.거.넣.어.놓.고
아고	아.고
뭐 읽을까요.엄마	뭐.읽.을.까.요.엄.마
책 어떤 거	책.어.떤.거
책 다 책인데	책.다.책.인.데
어	어
어.이거 뭐야	어.이.거.뭐.야
아냐.모자 벗으면 안 돼	아.냐.모.자.벗.으.면.안.돼
모자 쓰고 노는 거래	모.자.쓰.고.노.는.거.래
어.이름이 좋아하는 거다	어.이.름.이.좋.아.하.는.거.다
엄마도 해	엄.마.도.해
아.엄마 엄마 엄마 여기 엄마도.아이 이쁘다	아.엄.마.엄.마.엄.마.여.기.엄.마.도.아.이.이.쁘.다
또 뭐 있나	또.뭐.있.나
얜 뭐야	얜.뭐.야
기린인가	기.린.인.가
기린이 다리에 힘이 없네	기.린.이.다.리.에.힘.이.없.네
없네	없.네
없네.거기 일부러 막아 둔 것 같은데	없.네.거.기.일.부.러.막.아.둔.것.같.은.데
일부러 막아 둔 것 같은데	일.부.러.막.아.둔.것.같.은.데
어	어
뽀뽀	뽀.뽀
뽀뽀했어	뽀.뽀.했.어
이름이도 뽀뽀	이.름.이.도.뽀.뽀
아니 똑같이	아.니.똑.같.이
발	발
또.손은	또.손.은
기린은 손이 없을 텐데	기.린.은.손.이.없.을.텐.데
기린은 다리만 네 개야	기.린.은.다.리.만.네.개.야
