또 녹음하는 거	또|녹.음.하.는|거
종현이가 이거 칙칙폭폭 터널을 나가 주세요	종.현.이.가|이.거|칙.칙.폭.폭|터.널.을|나.가|주.세.요
나가	나.가
짠 칙칙폭폭 찾아 보세요 칙칙폭폭 어디 있어요	짠|칙.칙.폭.폭|찾.아|보.세.요|칙.칙.폭.폭|어.디|있.어.요
거기 있네 칙칙폭폭이가	거.기|있.네|칙.칙.폭.폭.이.가
어유 여기 뭐라고	어.유|여.기|뭐.라.고
어우 여기 낭떨어지다 애 어떻게 됐어	어.우|여.기|낭.떨.어.지.다|애|어.떻.게|됐.어
스키 타다가 아이고 어떻게 됐어요	스.키|타.다.가|아.이.고|어.떻.게|됐.어.요
스키 타다가 아이고 넘어졌어요 그렇지요	스.키|타.다.가|아.이.고|넘.어.졌.어.요|그.렇.지.요
스키 타다가 어떻게 했어요	스.키|타.다.가|어.떻.게|했.어.요
어 아이고 아이고 스키 타다가 어떻게 했어	어|아.이.고|아.이.고|스.키|타.다.가|어.떻.게|했.어
어 넘어졌어요 그렇지요	어|넘.어.졌.어.요|그.렇.지.요
자 터널로 이제 기차가 이렇게 와서 들어갈꺼에요 들어갑시다	자|터.널.로|이.제|기.차.가|이.렇.게|와.서|들.어.갈.꺼.에.요|들.어.갑.시.다
짠 칙칙폭폭 칙칙폭폭 칙칙폭폭 치치 칙칙폭폭 칙칙폭폭 칙칙폭폭 치치	짠|칙.칙.폭.폭|칙.칙.폭.폭|칙.칙.폭.폭|치.치|칙.칙.폭.폭|칙.칙.폭.폭|칙.칙.폭.폭|치.치
이거 뭐야 종현아 이거	이.거|뭐.야|종.현.아|이.거
그렇지 바퀴에요 칙칙폭폭이가 이제 터널을 나갑니다 뿌웅	그.렇.지|바.퀴.에.요|칙.칙.폭.폭.이.가|이.제|터.널.을|나.갑.니.다|뿌.웅
어머나 여기 보니깐 이렇게 이거 뭐라고 그러지 이런거를	어.머.나|여.기|보.니.깐|이.렇.게|이.거|뭐.라.고|그.러.지|이.런.거.를
물 많이 내려오는 거를 종현아	물|많.이|내.려.오.는|거.를|종.현.아
폭포	폭.포
폭포	폭.포
그리고 기차가 지금 어디 위로 건너가는 거에요	그.리.고|기.차.가|지.금|어.디|위.로|건.너.가.는|거.에.요
아이고 똑똑해 다리 위를 지금 건너가고 있죠	아.이.고|똑.똑.해|다.리|위.를|지.금|건.너.가.고|있.죠
다리 위를요 기차가 어떻게 건너가요	다.리|위.를.요|기.차.가|어.떻.게|건.너.가.요
그렇지 씨익하고 지나가죠	그.렇.지|씨.익.하.고|지.나.가.죠
이거는 누구에요	이.거.는|누.구.에.요
삐까 삐까 삐까 삐까 이름이 뭐에요	삐.까|삐.까|삐.까|삐.까|이.름.이|뭐.에.요
삐까 삐까 삐까 삐까 이름이 뭐에요	삐.까|삐.까|삐.까|삐.까|이.름.이|뭐.에.요
아이고 잘 하네 원숭이	아.이.고|잘|하.네|원.숭.이
원숭이	원.숭.이
아이고 잘 하네 이렇게 해 가지고 기차가	아.이.고|잘|하.네|이.렇.게|해|가.지.고|기.차.가
칙칙폭폭 칙칙폭폭 터널에 또 들어갑니다	칙.칙.폭.폭|칙.칙.폭.폭|터.널.에|또|들.어.갑.니.다
우와 터널에 들어왔어요	우.와|터.널.에|들.어.왔.어.요
터널에서는 칙칙폭폭 칙칙폭폭 칙칙폭폭 치치	터.널.에.서.는|칙.칙.폭.폭|칙.칙.폭.폭|칙.칙.폭.폭|치.치
종현이가 해 봐	종.현.이.가|해|봐
배다 배다 그렇지	배.다|배.다|그.렇.지
짠 우와 이게 뭐에요	짠|우.와|이.게|뭐.에.요
그렇지 띠띠빵빵 띠띠빵빵 이거는 누구야	그.렇.지|띠.띠.빵.빵|띠.띠.빵.빵|이.거.는|누.구.야
아이고 잘 하네 새가 지나가네	아.이.고|잘|하.네|새.가|지.나.가.네
종현아 이거는 뭐에요 이거 종현이 타고 다니는거	종.현.아|이.거.는|뭐.에.요|이.거|종.현.이|타.고|다.니.는.거
이거 이름이 뭐에요	이.거|이.름.이|뭐.에.요
아이고 잘 하네 이거 뭐라고요	아.이.고|잘|하.네|이.거|뭐.라.고.요
한번만 더 해 봐 아까 뭐라고 했어요	한.번.만|더|해|봐|아.까|뭐.라.고|했.어.요
자전거	자.전.거
자전거	자.전.거
아이고 잘 하네 자전거에요	아.이.고|잘|하.네|자.전.거.에.요
종현이 찾아보자 종현이 어디 있어 종현이 종현이 어디 있어요 종현이	종.현.이|찾.아.보.자|종.현.이|어.디|있.어|종.현.이|종.현.이|어.디|있.어.요|종.현.이
거기 있네 누구랑 있어요	거.기|있.네|누.구.랑|있.어.요
엄마랑 있어요	엄.마.랑|있.어.요
어디 가고 있어요 엄마하고 엄마랑 종현이랑 밖에 갔어요	어.디|가.고|있.어.요|엄.마.하.고|엄.마.랑|종.현.이.랑|밖.에|갔.어.요
어디 갔어요 종현이랑 엄마랑	어.디|갔.어.요|종.현.이.랑|엄.마.랑
응 손 꼭 붙잡고 엄마랑 종현이랑 밖에 나갔어요 그렇지요	응|손|꼭|붙.잡.고|엄.마.랑|종.현.이.랑|밖.에|나.갔.어.요|그.렇.지.요
우와 우리 터널에 또 들어가보자 종현아 터널	우.와|우.리|터.널.에|또|들.어.가.보.자|종.현.아|터.널
터널 어디 있어요	터.널|어.디|있.어.요
터널 그렇지 터널에 들어가 봅시다	터.널|그.렇.지|터.널.에|들.어.가|봅.시.다
짠 칙칙폭폭 칙칙폭폭 칙칙폭폭 치치	짠|칙.칙.폭.폭|칙.칙.폭.폭|칙.칙.폭.폭|치.치
다시 터널을 나왔더니 우와 꽃들이 이렇게 만발을 했어요	다.시|터.널.을|나.왔.더.니|우.와|꽃.들.이|이.렇.게|만.발.을|했.어.요
노란색 꽃들이	노.란.색|꽃.들.이
이건 뭐야 종현아	이.건|뭐.야|종.현.아
투구득득 투그득득	투.구.득.득|투.그.득.득
이건 뭐에요 하늘을 이렇게 날라다니는거	이.건|뭐.에.요|하.늘.을|이.렇.게|날.라.다.니.는.거
나비야 나비야 이리 날아오너라	나.비.야|나.비.야|이.리|날.아.오.너.라
나비가 어떻게 날았어요 나비가 쉬익	나.비.가|어.떻.게|날.았.어.요|나.비.가|쉬.익
아이고 잘 하네 노래 불러 봐	아.이.고|잘|하.네|노.래|불.러|봐
나비야 나비야 이리 날아오너라	나.비.야|나.비.야|이.리|날.아.오.너.라
호랑나비 흰나비 춤을 추며 오너라 그렇지	호.랑.나.비|흰.나.비|춤.을|추.며|오.너.라|그.렇.지
짠	짠
그렇지 그래서 어디 도착했어요 바다 역에 도착했어요	그.렇.지|그.래.서|어.디|도.착.했.어.요|바.다|역.에|도.착.했.어.요
우와 기차가 다 도착했다 나오네	우.와|기.차.가|다|도.착.했.다|나.오.네
여기 이거는 누구야	여.기|이.거.는|누.구.야
빠방이 있어요	빠.방.이|있.어.요
이거는 뭐에요	이.거.는|뭐.에.요
그렇지 자전거가 있어요	그.렇.지|자.전.거.가|있.어.요
종현이 어딨나 종현이 찾아 봐 종현이	종.현.이|어.딨.나|종.현.이|찾.아|봐|종.현.이
그거에요	그.거.에.요
엄마 어디 있어	엄.마|어.디|있.어
그렇지 아이고 잘 했습니다	그.렇.지|아.이.고|잘|했.습.니.다
그 다음에 또 우리 책 재미있는 책 보자	그|다.음.에|또|우.리|책|재.미.있.는|책|보.자
이거 볼까	이.거|볼.까
괜찮아 싫어	괜.찮.아|싫.어
뭐 보고 싶어 너가 골라	뭐|보.고|싶.어|너.가|골.라
어 이 약속해 볼까 약속	어|이|약.속.해|볼.까|약.속
이거 볼꺼야 이거	이.거|볼.꺼.야|이.거
알았어 이리로 와 앉어 봐 엄마랑 같이 책 봅시다	알.았.어|이.리.로|와|앉.어|봐|엄.마.랑|같.이|책|봅.시.다
짠 자 여기 보세요 자 잠깐만요	짠|자|여.기|보.세.요|자|잠.깐.만.요
엄마 엄마	엄.마|엄.마
문 좀 닫아 주세요	문|좀|닫.아|주.세.요
자 빠방이네요 택시	자|빠.방.이.네.요|택.시
우리 종현이가 그림 그리면은 엄마랑 그림 그리면은	우.리|종.현.이.가|그.림|그.리.면.은|엄.마.랑|그.림|그.리.면.은
종현이가 되게 멋있는 그림 많이 그리는데 그렇지	종.현.이.가|되.게|멋.있.는|그.림|많.이|그.리.는.데|그.렇.지
자 일단 이건 뭐에요	자|일.단|이.건|뭐.에.요
버스 바퀴도 이렇게 있고	버.스|바.퀴.도|이.렇.게|있.고
자 이거는 뭐에요	자|이.거.는|뭐.에.요
그렇지 택시 바퀴	그.렇.지|택.시|바.퀴
이거 뭐에요	이.거|뭐.에.요
택시	택.시
이거는 뭐야	이.거.는|뭐.야
그렇지 위용위용위용위용 소방차에요	그.렇.지|위.용.위.용.위.용.위.용|소.방.차.에.요
여기 한 번 열어 봐 종현이 뭐가 있나	여.기|한|번|열.어|봐|종.현.이|뭐.가|있.나
뭐가 있어요	뭐.가|있.어.요
그렇지 이거는 뭐에요 이름이	그.렇.지|이.거.는|뭐.에.요|이.름.이
그렇지 포크레인 아이고 잘 하네 이거는 뭐야 이거	그.렇.지|포.크.레.인|아.이.고|잘|하.네|이.거.는|뭐.야|이.거
불도저	불.도.저
이거는 뭐야	이.거.는|뭐.야
그렇지 트럭 아이고 잘 하네	그.렇.지|트.럭|아.이.고|잘|하.네
트럭	트.럭
쓰레기 버리는 차 어디 있을까 쓰레기 버리는 차	쓰.레.기|버.리.는|차|어.디|있.을.까|쓰.레.기|버.리.는|차
그렇지 거기 있지요	그.렇.지|거.기|있.지.요
할아 아저씨가 쓰레기 버려 주세요 그랬네	할.아|아.저.씨.가|쓰.레.기|버.려|주.세.요|그.랬.네
이거는 무슨 차야	이.거.는|무.슨|차.야
택배 왔어요 하는 차지요 택배 왔어요 문 열어 주세요 딩동딩동	택.배|왔.어.요|하.는|차.지.요|택.배|왔.어.요|문|열.어|주.세.요|딩.동.딩.동
네 여기 있습니다 도장	네|여.기|있.습.니.다|도.장
엄마야 아이고 잘 하네 엄마가 거기 있었어	엄.마.야|아.이.고|잘|하.네|엄.마.가|거.기|있.었.어
아이고 이뻐라 우리 아들	아.이.고|이.뻐.라|우.리|아.들
자 이제 여기 넘어갑니다	자|이.제|여.기|넘.어.갑.니.다
우와	우.와
아이고	아.이.고
우와 이거 뭐야	우.와|이.거|뭐.야
부웅 이름이 뭐에요	부.웅|이.름.이|뭐.에.요
아이고 잘 하네 우리 종현이가 할머니랑 뭐 타고 왔어요	아.이.고|잘|하.네|우.리|종.현.이.가|할.머.니.랑|뭐|타.고|왔.어.요
그렇지 비행기 타고 왔어요	그.렇.지|비.행.기|타.고|왔.어.요
이거는 식식 돌아가는 거 이름이 뭐에요	이.거.는|식.식|돌.아.가.는|거|이.름.이|뭐.에.요
이거 이름이	이.거|이.름.이
아이고 잘 하네 다시 해 봐 식식 돌아가는 거 이거 이름이 뭐에요	아.이.고|잘|하.네|다.시|해|봐|식.식|돌.아.가.는|거|이.거|이.름.이|뭐.에.요
레미콘 아이고 잘 하네	레.미.콘|아.이.고|잘|하.네
이거는 뭐야	이.거.는|뭐.야
그렇지 트럭	그.렇.지|트.럭
이거는 뭐에요 이거 종현이 뭐에요	이.거.는|뭐.에.요|이.거|종.현.이|뭐.에.요
아이고 잘 하네 포크레인 해 봐	아.이.고|잘|하.네|포.크.레.인|해|봐
아이고 잘 하네 발로 해 포크레인	아.이.고|잘|하.네|발.로|해|포.크.레.인
종현이 이거는 뭐야	종.현.이|이.거.는|뭐.야
그렇지 오토바이 아이고 잘 하네	그.렇.지|오.토.바.이|아.이.고|잘|하.네
이거는 어떻게 가는 거에요 이거 이거 이거 이거	이.거.는|어.떻.게|가.는|거.에.요|이.거|이.거|이.거|이.거
위용위용위용위용위용위용	위.용.위.용.위.용.위.용.위.용.위.용
아픈 사람 태우고 어디로 가요	아.픈|사.람|태.우.고|어.디.로|가.요
이 차는 위용위용하고 아픈 사람 태우고 어느 어디로 갈까	이|차.는|위.용.위.용.하.고|아.픈|사.람|태.우.고|어.느|어.디.로|갈.까
병원	병.원
병원	병.원
그렇지요 아이고 이거는 뭐에요 종현이꺼 이거는 뭐에요	그.렇.지.요|아.이.고|이.거.는|뭐.에.요|종.현.이.꺼|이.거.는|뭐.에.요
자전거 아이고 잘 하네	자.전.거|아.이.고|잘|하.네
종현이 이거 타 봤어요 이거 이름이 뭐에요	종.현.이|이.거|타|봤.어.요|이.거|이.름.이|뭐.에.요
이 차 이름이 뭐에요	이|차|이.름.이|뭐.에.요
그렇지 종현이 버스 타 봤어요	그.렇.지|종.현.이|버.스|타|봤.어.요
종현이 버스 타 봤어요 누구랑 버스 타 봤어요	종.현.이|버.스|타|봤.어.요|누.구.랑|버.스|타|봤.어.요
종현아	종.현.아
할머니랑	할.머.니.랑
어떻게 이렇게 똑똑해	어.떻.게|이.렇.게|똑.똑.해
아빠랑도 버스 타 봤어	아.빠.랑.도|버.스|타|봤.어
할머니랑 아빠랑 버스를 탔어요	할.머.니.랑|아.빠.랑|버.스.를|탔.어.요
할아버지랑 버스를 탔어요	할.아.버.지.랑|버.스.를|탔.어.요
어머나 여기 보니깐 시마지로가 있네	어.머.나|여.기|보.니.깐|시.마.지.로.가|있.네
우리 애기 종현이 어디 있어요 종현이 어디 있어요	우.리|애.기|종.현.이|어.디|있.어.요|종.현.이|어.디|있.어.요
딩동 딩동 딩동 딩동 딩동 딩동 딩동 딩동 딩동 딩동	딩.동|딩.동|딩.동|딩.동|딩.동|딩.동|딩.동|딩.동|딩.동|딩.동
지나 갑니다 조심하세요 딩동 딩동 딩동 딩동 딩동 딩동	지.나|갑.니.다|조.심.하.세.요|딩.동|딩.동|딩.동|딩.동|딩.동|딩.동
이거는 어떻게 하는 거야 엘레베이터가 어떻게 올라 가	이.거.는|어.떻.게|하.는|거.야|엘.레.베.이.터.가|어.떻.게|올.라|가
일층 이층 삼층 사층 내려 옵니다 이층 일층 이층	일.층|이.층|삼.층|사.층|내.려|옵.니.다|이.층|일.층|이.층
아이고 또 삼층 사층 삼층 이층 일층 아이고 잘 했어요	아.이.고|또|삼.층|사.층|삼.층|이.층|일.층|아.이.고|잘|했.어.요
이거는	이.거.는
이층 삼층 사층 아이고 잘 했어요 아이고 잘 했어요 우리 쫑꼬	이.층|삼.층|사.층|아.이.고|잘|했.어.요|아.이.고|잘|했.어.요|우.리|쫑.꼬
우리 종현이가 너무 너무 잘 하네	우.리|종.현.이.가|너.무|너.무|잘|하.네
자 여기 보자 엘레베이터 타고 올라 가는데	자|여.기|보.자|엘.레.베.이.터|타.고|올.라|가.는.데
버스가 출발합니다 짠	버.스.가|출.발.합.니.다|짠
종현아 비오는 날 쓰는 거 어디 있어 비오는 날	종.현.아|비.오.는|날|쓰.는|거|어.디|있.어|비.오.는|날
비가 막 오면은 뭐 쓰고 가요 이거 뭐에요	비.가|막|오.면.은|뭐|쓰.고|가.요|이.거|뭐.에.요
우산 아이고 잘 하네	우.산|아.이.고|잘|하.네
이거 뭐야	이.거|뭐.야
여보세요 하는 거	여.보.세.요|하.는|거
네	네
아빠 아이고 잘 하네	아.빠|아.이.고|잘|하.네
할아버지 하는 거지 전화로	할.아.버.지|하.는|거.지|전.화.로
이거 전화 오면은 따르르릉 하면 종현이가 맨 처음에 뭐라고 그래요	이.거|전.화|오.면.은|따.르.르.릉|하.면|종.현.이.가|맨|처.음.에|뭐.라.고|그.래.요
할아버지	할.아.버.지
여보세요	여.보.세.요
할아버지	할.아.버.지
어디 갔어요	어.디|갔.어.요
그랬어 우리 종현이가	그.랬.어|우.리|종.현.이.가
저기다가 전화했어	저.기.다.가|전.화.했.어
종현이 이거 뭐야	종.현.이|이.거|뭐.야
아이고 잘 하네 열쇠야 아이고 잘 하네	아.이.고|잘|하.네|열.쇠.야|아.이.고|잘|하.네
우리 아들이 어떻게 이렇게	우.리|아.들.이|어.떻.게|이.렇.게
이건 뭐야 이거는	이.건|뭐.야|이.거.는
철커덕 이거 이름이 뭐에요	철.커.덕|이.거|이.름.이|뭐.에.요
카메라	카.메.라
카메라	카.메.라
이건 뭐야 똑딱똑딱똑딱똑딱 이름이 뭐에요	이.건|뭐.야|똑.딱.똑.딱.똑.딱.똑.딱|이.름.이|뭐.에.요
아이고 잘 하네 시계에요	아.이.고|잘|하.네|시.계.에.요
이건 뭐에요	이.건|뭐.에.요
그렇지 발로 빵 차는 거지 이거 이름이 뭐야	그.렇.지|발.로|빵|차.는|거.지|이.거|이.름.이|뭐.야
아이고 잘 하네 아이고 잘 하네 	아.이.고|잘|하.네|아.이.고|잘|하.네.|
공	공
어 종현아 이거는 뭐게	어|종.현.아|이.거.는|뭐.게
모자 아이고 잘 하네 이거는 뭐에요	모.자|아.이.고|잘|하.네|이.거.는|뭐.에.요
아우 신발도 이렇게 잘 해 우리 종현이가 신발 신고 밖에 나가지	아.우|신.발.도|이.렇.게|잘|해|우.리|종.현.이.가|신.발|신.고|밖.에|나.가.지
이거는 뭔지 알아	이.거.는|뭔.지|알.아
양말은 어떻게 알았어 우리 종현이가 양말	양.말.은|어.떻.게|알.았.어|우.리|종.현.이.가|양.말
모자 쓰고 양말 신고 신발 신고 밖에 나가지 종현이 맨날 나가지	모.자|쓰.고|양.말|신.고|신.발|신.고|밖.에|나.가.지|종.현.이|맨.날|나.가.지
이거는 뭔지 알어	이.거.는|뭔.지|알.어
너 어떻게 이렇게 잘 아니	너|어.떻.게|이.렇.게|잘|아.니
바지도 입고 나가지요	바.지.도|입.고|나.가.지.요
종현이 엄마가 맨날 바지 입고 나가자 그러잖아 그렇지	종.현.이|엄.마.가|맨.날|바.지|입.고|나.가.자|그.러.잖.아|그.렇.지
그러면 이거는 뭔지 알어 종현아 이거	그.러.면|이.거.는|뭔.지|알.어|종.현.아|이.거
이거 이름이 뭐야 이거 어딨어 종현이 이거 맨날 차잖아	이.거|이.름.이|뭐.야|이.거|어.딨.어|종.현.이|이.거|맨.날|차.잖.아
이거 이름이 뭐야	이.거|이.름.이|뭐.야
아이고 잘 하네 다시 해 봐 이게 이름이 뭐야	아.이.고|잘|하.네|다.시|해|봐|이.게|이.름.이|뭐.야
어 기 기저귀	어|기|기.저.귀
기저귀	기.저.귀
종현이 아직도 기저귀 차고 다녀요	종.현.이|아.직.도|기.저.귀|차.고|다.녀.요
기저귀 어딨어 종현이 기저귀	기.저.귀|어.딨.어|종.현.이|기.저.귀
종현이 기저귀 어디갔어	종.현.이|기.저.귀|어.디.갔.어
기저귀 차고 다녀요 우리 아들이가요	기.저.귀|차.고|다.녀.요|우.리|아.들.이.가.요
어디 가세요 아들	어.디|가.세.요|아.들
할아버지한테 가세요	할.아.버.지.한.테|가.세.요
잠깐만 엄마 요거 봐 봐	잠.깐.만|엄.마|요.거|봐|봐
어머 수박도 있고 이거 뭐라고 그러지 종현이가	어.머|수.박.도|있.고|이.거|뭐.라.고|그.러.지|종.현.이.가
할아버지한테 똑똑똑똑 하는 거야	할.아.버.지.한.테|똑.똑.똑.똑|하.는|거.야
종현이 엄마랑 그림 그리자 그림	종.현.이|엄.마.랑|그.림|그.리.자|그.림
종현이 이거 뭐하는 거야 엄마랑	종.현.이|이.거|뭐.하.는|거.야|엄.마.랑
그림 그리자	그.림|그.리.자
똑똑똑 하는 거야 할아버지 갈라고	똑.똑.똑|하.는|거.야|할.아.버.지|갈.라.고
이리로 오세요 엄마 그림 이쁜거 그려줄께	이.리.로|오.세.요|엄.마|그.림|이.쁜.거|그.려.줄.께
뭐 그려 줄까 종현아	뭐|그.려|줄.까|종.현.아
엄마가 그림 뭐 그려 줄까 이종현	엄.마.가|그.림|뭐|그.려|줄.까|이.종.현
엄마가 그림 뭐 그려줬으면 좋겠어	엄.마.가|그.림|뭐|그.려.줬.으.면|좋.겠.어
뭐 그려줄까	뭐|그.려.줄.까
어떤 거 뭐 그려줄까 엄마가 그림 뭐 그려줄까	어.떤|거|뭐|그.려.줄.까|엄.마.가|그.림|뭐|그.려.줄.까
버스 알았어 그러면은 엄마가 버스 그려줄테니깐 종현이가 바퀴를 그리세요	버.스|알.았.어|그.러.면.은|엄.마.가|버.스|그.려.줄.테.니.깐|종.현.이.가|바.퀴.를|그.리.세.요
자 엄마가 버스 우와	자|엄.마.가|버.스|우.와
바퀴 그려보세요 아이고 잘 그리네	바.퀴|그.려.보.세.요|아.이.고|잘|그.리.네
어쩜 이렇게 동그라미를 이렇게 잘 그려	어.쩜|이.렇.게|동.그.라.미.를|이.렇.게|잘|그.려
버스다	버.스.다
그 다음에 이게 뭐인거 같아 종현	그|다.음.에|이.게|뭐.인.거|같.아|종.현
트럭 트럭도 바퀴를 그려 주세요	트.럭|트.럭.도|바.퀴.를|그.려|주.세.요
트럭이 바퀴가 어디 있을까	트.럭.이|바.퀴.가|어.디|있.을.까
트럭 바퀴	트.럭|바.퀴
어 바퀴 여기다가 동그랗게 그려 주세요	어|바.퀴|여.기.다.가|동.그.랗.게|그.려|주.세.요
아이고 잘 그리네 아이고 잘 그리네	아.이.고|잘|그.리.네|아.이.고|잘|그.리.네
바퀴를 너무 너무 멋있게 그렸다	바.퀴.를|너.무|너.무|멋.있.게|그.렸.다
종현아 이게 뭘까 이게 뭘까	종.현.아|이.게|뭘.까|이.게|뭘.까
그렇지 포크레인 바퀴를 그려 주세요	그.렇.지|포.크.레.인|바.퀴.를|그.려|주.세.요
어 아이고 잘 하네 아이고 잘 하네 아이고 잘 하네 박수	어|아.이.고|잘|하.네|아.이.고|잘|하.네|아.이.고|잘|하.네|박.수
우리 종현이가 바퀴도 그리고	우.리|종.현.이.가|바.퀴.도|그.리.고
이번에는 엄마가 이거 그려줄게 이게 뭐에요	이.번.에.는|엄.마.가|이.거|그.려.줄.게|이.게|뭐.에.요
자동차 바퀴 그려 주세요	자.동.차|바.퀴|그.려|주.세.요
아이고 잘 그리네 아이고 잘 그리네 너무 너무 잘 그린다	아.이.고|잘|그.리.네|아.이.고|잘|그.리.네|너.무|너.무|잘|그.린.다
우리 종현이가 자동차에다가 어떻게 했냐면은요	우.리|종.현.이.가|자.동.차.에.다.가|어.떻.게|했.냐.면.은.요
이거 버스에다가 바퀴를 크게 두 개 그렸어요	이.거|버.스.에.다.가|바.퀴.를|크.게|두|개|그.렸.어.요
이거는 트럭에다가요 바퀴를 여기 이렇게 이쁘게 그렸어요 동그라미를	이.거.는|트.럭.에.다.가.요|바.퀴.를|여.기|이.렇.게|이.쁘.게|그.렸.어.요|동.그.라.미.를
이거는 포크레인에다가 바퀴를 두 개 이렇게 멋있게 그렸어요	이.거.는|포.크.레.인.에.다.가|바.퀴.를|두|개|이.렇.게|멋.있.게|그.렸.어.요
이거는 택시에다가 바퀴를 두 개를 너무너무 예쁘게 그렸어요 박수	이.거.는|택.시.에.다.가|바.퀴.를|두|개.를|너.무.너.무|예.쁘.게|그.렸.어.요|박.수
종현이 박수해 봐 박수	종.현.이|박.수.해|봐|박.수
잘 했어요	잘|했.어.요
우리 종현이 인사 한 번 해볼까	우.리|종.현.이|인.사|한|번|해.볼.까
안녕하세요 이거 인사 한 번 해 봐	안.녕.하.세.요|이.거|인.사|한|번|해|봐
일어서서 해야지	일.어.서.서|해.야.지
왜 할머니 할아버지 보면은 일어서서 어떻게 인사하라고 그랬어	왜|할.머.니|할.아.버.지|보.면.은|일.어.서.서|어.떻.게|인.사.하.라.고|그.랬.어
안녕하세요	안.녕.하.세.요
아이고 아이고 아이고 아이고 입으로도 해야지	아.이.고|아.이.고|아.이.고|아.이.고|입.으.로.도|해.야.지
안녕하세요 해 봐	안.녕.하.세.요|해|봐
아이고 잘 하네 안녕하세요 그랬어	아.이.고|잘|하.네|안.녕.하.세.요|그.랬.어
또 종현이가 할아버지 부를 때 어떻게 불러	또|종.현.이.가|할.아.버.지|부.를|때|어.떻.게|불.러
그렇지 또 할아버지 빨리 오세요 해 봐	그.렇.지|또|할.아.버.지|빨.리|오.세.요|해|봐
할아버지 빨리 오세요	할.아.버.지|빨.리|오.세.요
빨리 그래	빨.리|그.래
할머니한테 어떻게 해	할.머.니.한.테|어.떻.게|해
그렇지 안녕하세요	그.렇.지|안.녕.하.세.요
할머니 빨리 오세요 해 봐	할.머.니|빨.리|오.세.요|해|봐
빨리 오세요	빨.리|오.세.요
종현아	종.현.아
포크레인 말고 이거 봐 봐	포.크.레.인|말.고|이.거|봐|봐
어머나 여기 벌이 나오네 벌	어.머.나|여.기|벌.이|나.오.네|벌
여기 보니깐 벌이 나오지 벌이 어떻게 했어 벌이	여.기|보.니.깐|벌.이|나.오.지|벌.이|어.떻.게|했.어|벌.이
어떻게 했어 벌이	어.떻.게|했.어|벌.이
아이고 아이고 아이고 아이고 아이고 아이고 아이고 아이고	아.이.고|아.이.고|아.이.고|아.이.고|아.이.고|아.이.고|아.이.고|아.이.고
벌이 어떻게 했냐면은요	벌.이|어.떻.게|했.냐.면.은.요
벌이 윙 엄마 해 봐	벌.이|윙|엄.마|해|봐
어	어
벌이 윙 아이아이아이 우어 아이고 따가워 아이고 아이고 아이고	벌.이|윙|아.이.아.이.아.이|우.어|아.이.고|따.가.워|아.이.고|아.이.고|아.이.고
종현이도 해 봐 벌이	종.현.이.도|해|봐|벌.이
뭐 해 줘	뭐|해|줘
포크레인 자 봐 봐 그럼 포크레인 책 보자	포.크.레.인|자|봐|봐|그.럼|포.크.레.인|책|보.자
엄마 여기 무릎에 앉아야지 포크레인 책을 재미있게 보지요	엄.마|여.기|무.릎.에|앉.아.야.지|포.크.레.인|책.을|재.미.있.게|보.지.요
우리 종현이는 포크레인이 이 세상에서 제일 좋아	우.리|종.현.이.는|포.크.레.인.이|이|세.상.에.서|제.일|좋.아
포크레인	포.크.레.인
우와 포크레인이다	우.와|포.크.레.인.이.다
포크레인이 어떻게 해요	포.크.레.인.이|어.떻.게|해.요
푸쉬 푸쉬 푸쉬	푸.쉬|푸.쉬|푸.쉬
포크레인이 그렇게 움직이지요	포.크.레.인.이|그.렇.게|움.직.이.지.요
우와 포크레인이 땅을 그냥 푸쉬 파네	우.와|포.크.레.인.이|땅.을|그.냥|푸.쉬|파.네
이거는 뭐에요	이.거.는|뭐.에.요
아이고 잘 하네 불도저에요	아.이.고|잘|하.네|불.도.저.에.요
불도저는요 땅을요 이렇게 끌고 가죠 칙 해 봐	불.도.저.는.요|땅.을.요|이.렇.게|끌.고|가.죠|칙|해|봐
칙	칙
불도저	불.도.저
불도저	불.도.저
그렇지 불도저로 그냥 이거 봐 흙을 이렇게 들어가지고 다 내버리네	그.렇.지|불.도.저.로|그.냥|이.거|봐|흙.을|이.렇.게|들.어.가.지.고|다|내.버.리.네
이게 바로 불도저야 여기 보면은 이건 뭐에요 뭐를 들었어요 불도저가	이.게|바.로|불.도.저.야|여.기|보.면.은|이.건|뭐.에.요|뭐.를|들.었.어.요|불.도.저.가
그렇지 나무도 들을 줄 알어	그.렇.지|나.무.도|들.을|줄|알.어
이거는 뭘 들을거야 불도저가	이.거.는|뭘|들.을.거.야|불.도.저.가
나무 나무하고 이거는 뭐에요 딱딱한 뭐를 들었을까	나.무|나.무.하.고|이.거.는|뭐.에.요|딱.딱.한|뭐.를|들.었.을.까
돌멩이를 들었네 돌을 들었지요	돌.멩.이.를|들.었.네|돌.을|들.었.지.요
돌 그렇지	돌|그.렇.지
우와 이거는 크레인이라고 그러는 거야	우.와|이.거.는|크.레.인.이.라.고|그.러.는|거.야
크레인은 높이 올라가 가지고 이렇게 나무 같은 거를 들을 수가 있어	크.레.인.은|높.이|올.라.가|가.지.고|이.렇.게|나.무|같.은|거.를|들.을|수.가|있.어
여기 끝에 이렇게 생겨가지고 그렇지요	여.기|끝.에|이.렇.게|생.겨.가.지.고|그.렇.지.요
